invoice_id,customer_id,billing_period,plan_id,usage_charges,tax_amount,total_amount,invoice_date,due_date,invoice_status
INV0000001,CUST0000001,2026-08,PLN002,4.09,1.93,26.01,2026-08-01,2026-08-22,PAID
INV0000002,CUST0000002,2026-08,PLN005,34.86,13.19,178.04,2026-08-01,2026-08-22,PAID
INV0000003,CUST0000003,2026-08,PLN006,75.21,26.02,351.22,2026-08-01,2026-08-22,PAID
INV0000004,CUST0000004,2026-08,PLN003,0.86,4.07,54.92,2026-08-01,2026-08-22,PAID
INV0000005,CUST0000005,2026-08,PLN001,3.16,1.05,14.2,2026-08-01,2026-08-22,PAID
INV0000006,CUST0000006,2026-08,PLN001,1.98,0.96,12.93,2026-08-01,2026-08-22,PAID
INV0000007,CUST0000007,2026-08,PLN004,9.09,7.13,96.21,2026-08-01,2026-08-22,OPEN
INV0000008,CUST0000008,2026-08,PLN006,55.32,24.42,329.73,2026-08-01,2026-08-22,PAID
INV0000009,CUST0000009,2026-08,PLN001,3.11,1.05,14.15,2026-08-01,2026-08-22,PAID
INV0000010,CUST0000010,2026-08,PLN003,12.8,5.02,67.81,2026-08-01,2026-08-22,OPEN
INV0000011,CUST0000011,2026-08,PLN004,22.46,8.2,110.65,2026-08-01,2026-08-22,PAID
INV0000012,CUST0000012,2026-08,PLN005,12.93,11.43,154.35,2026-08-01,2026-08-22,PAID
INV0000013,CUST0000013,2026-08,PLN003,9.06,4.72,63.77,2026-08-01,2026-08-22,PAID
INV0000014,CUST0000014,2026-08,PLN001,0.61,0.85,11.45,2026-08-01,2026-08-22,PAID
INV0000015,CUST0000015,2026-08,PLN002,7.85,2.23,30.07,2026-08-01,2026-08-22,PAID
INV0000016,CUST0000016,2026-08,PLN003,10.85,4.87,65.71,2026-08-01,2026-08-22,PAID
INV0000017,CUST0000017,2026-08,PLN005,20.81,12.06,162.86,2026-08-01,2026-08-22,PAID
INV0000018,CUST0000018,2026-08,PLN004,4.4,6.75,91.14,2026-08-01,2026-08-22,PAID
INV0000019,CUST0000019,2026-08,PLN005,23.15,12.25,165.39,2026-08-01,2026-08-22,PAID
INV0000020,CUST0000020,2026-08,PLN005,43.31,13.86,187.16,2026-08-01,2026-08-22,PAID
INV0000021,CUST0000021,2026-08,PLN001,2.34,0.99,13.32,2026-08-01,2026-08-22,OPEN
INV0000022,CUST0000022,2026-08,PLN006,24.83,21.99,296.81,2026-08-01,2026-08-22,PAID
INV0000023,CUST0000023,2026-08,PLN006,40.74,23.26,313.99,2026-08-01,2026-08-22,PAID
INV0000024,CUST0000024,2026-08,PLN001,1.37,0.91,12.27,2026-08-01,2026-08-22,OVERDUE
INV0000025,CUST0000025,2026-08,PLN001,3.67,1.09,14.75,2026-08-01,2026-08-22,PAID
INV0000026,CUST0000026,2026-08,PLN003,15.59,5.25,70.83,2026-08-01,2026-08-22,OPEN
INV0000027,CUST0000027,2026-08,PLN002,2.88,1.83,24.7,2026-08-01,2026-08-22,OVERDUE
INV0000028,CUST0000028,2026-08,PLN003,9.91,4.79,64.69,2026-08-01,2026-08-22,PAID
INV0000029,CUST0000029,2026-08,PLN003,13.0,5.04,68.03,2026-08-01,2026-08-22,OPEN
INV0000030,CUST0000030,2026-08,PLN006,28.91,22.31,301.21,2026-08-01,2026-08-22,PAID
INV0000031,CUST0000031,2026-08,PLN001,1.88,0.95,12.82,2026-08-01,2026-08-22,OPEN
INV0000032,CUST0000032,2026-08,PLN006,6.53,20.52,277.04,2026-08-01,2026-08-22,PAID
INV0000033,CUST0000033,2026-08,PLN005,28.13,12.65,170.77,2026-08-01,2026-08-22,OVERDUE
INV0000034,CUST0000034,2026-08,PLN001,3.46,1.08,14.53,2026-08-01,2026-08-22,PAID
INV0000035,CUST0000035,2026-08,PLN003,1.59,4.13,55.71,2026-08-01,2026-08-22,PAID
INV0000036,CUST0000036,2026-08,PLN003,12.45,5.0,67.44,2026-08-01,2026-08-22,OVERDUE
INV0000037,CUST0000037,2026-08,PLN006,37.65,23.01,310.65,2026-08-01,2026-08-22,PAID
INV0000038,CUST0000038,2026-08,PLN006,97.52,27.8,375.31,2026-08-01,2026-08-22,PAID
INV0000039,CUST0000039,2026-08,PLN005,19.82,11.98,161.79,2026-08-01,2026-08-22,PAID
INV0000040,CUST0000040,2026-08,PLN003,11.76,4.94,66.69,2026-08-01,2026-08-22,OVERDUE
INV0000041,CUST0000041,2026-08,PLN006,4.93,20.39,275.31,2026-08-01,2026-08-22,PAID
INV0000042,CUST0000042,2026-08,PLN001,3.38,1.07,14.44,2026-08-01,2026-08-22,OPEN
INV0000043,CUST0000043,2026-08,PLN003,4.93,4.39,59.31,2026-08-01,2026-08-22,OVERDUE
INV0000044,CUST0000044,2026-08,PLN006,4.45,20.36,274.8,2026-08-01,2026-08-22,PAID
INV0000045,CUST0000045,2026-08,PLN004,21.85,8.15,109.99,2026-08-01,2026-08-22,PAID
INV0000046,CUST0000046,2026-08,PLN004,10.06,7.2,97.25,2026-08-01,2026-08-22,PAID
