device_id,imei,customer_id,device_model,device_os,activation_date,device_status
DEV0000001,329212779979955,CUST0000001,Samsung Galaxy S24,Android 14,2024-04-02,ACTIVE
DEV0000002,744905814770054,CUST0000002,Samsung Galaxy A54,Android 13,2026-07-27,ACTIVE
DEV0000003,998679807935978,CUST0000003,Apple iPhone 15,iOS 17,2024-06-07,ACTIVE
DEV0000005,182037788925546,CUST0000005,Samsung Galaxy S24,Android 14,2025-06-19,ACTIVE
DEV0000006,905151864492519,CUST0000006,OnePlus 12,Android 14,2026-06-15,INACTIVE
DEV0000007,462914865281685,CUST0000007,Samsung Galaxy S24,Android 14,2024-01-29,ACTIVE
DEV0000008,357332214188805,CUST0000008,Apple iPhone 14,iOS 17,2025-08-01,INACTIVE
DEV0000009,222927065379473,CUST0000009,Samsung Galaxy A54,Android 13,2024-12-08,INACTIVE
DEV0000010,359774688623924,CUST0000010,Samsung Galaxy A54,Android 13,2026-01-27,ACTIVE
DEV0000011,818141247826137,CUST0000011,Samsung Galaxy S24,Android 14,2026-01-18,ACTIVE
DEV0000013,853615305152204,CUST0000013,Samsung Galaxy A54,Android 13,2026-02-24,ACTIVE
DEV0000014,779010432898614,CUST0000014,Apple iPhone 14,iOS 17,2023-11-03,ACTIVE
DEV0000015,369711798089324,CUST0000015,Apple iPhone 15,iOS 17,2026-08-16,ACTIVE
DEV0000016,396218518888806,CUST0000016,Samsung Galaxy S24,Android 14,2024-10-10,ACTIVE
DEV0000017,540515319520585,CUST0000017,Samsung Galaxy A54,Android 13,2025-05-09,INACTIVE
DEV0000018,772217043030548,CUST0000018,OnePlus 12,Android 14,2026-08-23,ACTIVE
DEV0000020,034505415667652,CUST0000020,Samsung Galaxy S24,Android 14,2026-07-14,ACTIVE
DEV0000021,841616928451154,CUST0000021,Samsung Galaxy S24,Android 14,2026-04-11,ACTIVE
DEV0000022,627570596401658,CUST0000022,OnePlus 12,Android 14,2024-08-21,INACTIVE
DEV0000023,297021355690927,CUST0000023,Apple iPhone 15,iOS 17,2025-04-09,ACTIVE
DEV0000024,928565431027868,CUST0000024,Apple iPhone 15,iOS 17,2024-07-03,ACTIVE
DEV0000025,739473121727155,CUST0000025,Samsung Galaxy S24,Android 14,2024-08-28,INACTIVE
DEV0000026,442258313237058,CUST0000026,Google Pixel 8,Android 14,2023-11-10,INACTIVE
DEV0000027,291146786691251,CUST0000027,Google Pixel 8,Android 14,2023-11-19,ACTIVE
DEV0000028,528922680182422,CUST0000028,Google Pixel 8,Android 14,2023-12-07,ACTIVE
DEV0000030,414384249818299,CUST0000030,Google Pixel 8,Android 14,2025-05-01,ACTIVE
