payment_id,invoice_id,customer_id,payment_date,amount,payment_method,card_last4,payment_status
PAY0000001,INV0000001,CUST0000001,2026-08-09,26.01,BANK_TRANSFER,3788,SUCCESS
PAY0000002,INV0000002,CUST0000002,2026-08-05,178.04,CASH,7425,SUCCESS
PAY0000003,INV0000003,CUST0000003,2026-08-16,351.22,CARD,0001,SUCCESS
PAY0000004,INV0000004,CUST0000004,2026-08-04,54.92,WALLET,1547,SUCCESS
PAY0000005,INV0000005,CUST0000005,2026-08-12,14.2,CASH,4913,SUCCESS
PAY0000006,INV0000006,CUST0000006,2026-08-08,12.93,BANK_TRANSFER,0060,SUCCESS
PAY0000008,INV0000008,CUST0000008,2026-08-13,329.73,WALLET,5368,SUCCESS
PAY0000009,INV0000009,CUST0000009,2026-08-13,14.15,BANK_TRANSFER,9026,SUCCESS
PAY0000011,INV0000011,CUST0000011,2026-08-13,110.65,CASH,4847,SUCCESS
PAY0000012,INV0000012,CUST0000012,2026-08-14,154.35,CARD,3580,SUCCESS
PAY0000013,INV0000013,CUST0000013,2026-08-03,63.77,CASH,5135,SUCCESS
PAY0000014,INV0000014,CUST0000014,2026-08-13,11.45,BANK_TRANSFER,4734,SUCCESS
PAY0000015,INV0000015,CUST0000015,2026-08-08,30.07,CASH,8227,SUCCESS
PAY0000016,INV0000016,CUST0000016,2026-08-08,65.71,WALLET,8740,SUCCESS
PAY0000017,INV0000017,CUST0000017,2026-08-08,162.86,CARD,6170,SUCCESS
PAY0000018,INV0000018,CUST0000018,2026-08-16,91.14,BANK_TRANSFER,3443,SUCCESS
PAY0000019,INV0000019,CUST0000019,2026-08-14,165.39,CARD,2410,SUCCESS
PAY0000020,INV0000020,CUST0000020,2026-08-03,187.16,BANK_TRANSFER,1704,SUCCESS
PAY0000022,INV0000022,CUST0000022,2026-08-06,296.81,BANK_TRANSFER,0154,SUCCESS
PAY0000023,INV0000023,CUST0000023,2026-08-16,313.99,CASH,3371,SUCCESS
PAY0000025,INV0000025,CUST0000025,2026-08-04,14.75,CASH,9070,SUCCESS
PAY0000028,INV0000028,CUST0000028,2026-08-04,64.69,CASH,1498,SUCCESS
PAY0000030,INV0000030,CUST0000030,2026-08-14,301.21,CASH,2964,SUCCESS
PAY0000032,INV0000032,CUST0000032,2026-08-09,277.04,CARD,6845,SUCCESS
PAY0000034,INV0000034,CUST0000034,2026-08-05,14.53,CARD,7046,SUCCESS
PAY0000035,INV0000035,CUST0000035,2026-08-04,55.71,BANK_TRANSFER,5199,SUCCESS
PAY0000037,INV0000037,CUST0000037,2026-08-14,310.65,BANK_TRANSFER,6327,SUCCESS
PAY0000038,INV0000038,CUST0000038,2026-08-15,375.31,WALLET,0439,SUCCESS
PAY0000039,INV0000039,CUST0000039,2026-08-03,161.79,WALLET,2652,SUCCESS
