ticket_id,customer_id,opened_at,closed_at,category,priority,ticket_status,channel
TCK0000001,CUST0000021,2026-08-21 19:49:59,2026-08-23 22:49:59,NETWORK,LOW,CLOSED,APP
TCK0000002,CUST0000186,2026-08-16 07:28:22,2026-08-17 22:28:22,OTHER,HIGH,CLOSED,EMAIL
TCK0000003,CUST0000154,2026-08-27 21:30:14,2026-08-30 06:30:14,PLAN_CHANGE,URGENT,CLOSED,CHAT
TCK0000004,CUST0000157,2026-08-14 12:00:48,2026-08-15 13:00:48,NETWORK,URGENT,CLOSED,EMAIL
TCK0000005,CUST0000005,2026-08-19 17:21:38,2026-08-21 18:21:38,NETWORK,URGENT,CLOSED,CHAT
TCK0000006,CUST0000067,2026-08-15 21:20:56,,PLAN_CHANGE,MEDIUM,OPEN,APP
TCK0000007,CUST0000061,2026-08-08 00:04:11,2026-08-08 19:04:11,DEVICE,MEDIUM,CLOSED,APP
TCK0000008,CUST0000071,2026-08-11 09:49:24,,DEVICE,HIGH,OPEN,EMAIL
TCK0000009,CUST0000078,2026-08-27 17:58:48,2026-08-30 11:58:48,OTHER,LOW,CLOSED,APP
TCK0000010,CUST0000051,2026-08-09 08:31:07,2026-08-11 13:31:07,NETWORK,MEDIUM,CLOSED,EMAIL
TCK0000011,CUST0000044,2026-08-02 22:14:10,2026-08-04 23:14:10,DEVICE,MEDIUM,CLOSED,CHAT
TCK0000012,CUST0000287,2026-08-05 16:56:06,2026-08-06 23:56:06,NETWORK,HIGH,CLOSED,APP
TCK0000013,CUST0000096,2026-08-16 00:21:04,,BILLING,HIGH,OPEN,CHAT
TCK0000014,CUST0000116,2026-08-07 02:25:28,2026-08-08 04:25:28,BILLING,MEDIUM,CLOSED,CALL
TCK0000015,CUST0000041,2026-08-10 18:29:31,2026-08-12 17:29:31,OTHER,URGENT,CLOSED,APP
TCK0000016,CUST0000015,2026-08-29 09:41:29,2026-08-30 20:41:29,DEVICE,URGENT,CLOSED,APP
TCK0000017,CUST0000289,2026-08-20 01:17:55,2026-08-22 17:17:55,DEVICE,URGENT,CLOSED,APP
TCK0000018,CUST0000138,2026-08-25 08:13:37,2026-08-27 03:13:37,NETWORK,HIGH,CLOSED,CHAT
TCK0000019,CUST0000224,2026-08-16 05:44:29,2026-08-18 18:44:29,DEVICE,URGENT,CLOSED,APP
TCK0000020,CUST0000258,2026-08-09 00:36:42,2026-08-09 09:36:42,PLAN_CHANGE,MEDIUM,CLOSED,EMAIL
TCK0000021,CUST0000065,2026-08-18 05:57:57,2026-08-20 01:57:57,DEVICE,HIGH,CLOSED,CALL
TCK0000022,CUST0000275,2026-08-04 14:09:03,2026-08-04 16:09:03,OTHER,HIGH,CLOSED,EMAIL
TCK0000023,CUST0000261,2026-08-11 20:28:08,2026-08-13 16:28:08,NETWORK,URGENT,CLOSED,CHAT
TCK0000024,CUST0000166,2026-08-08 03:49:09,2026-08-10 03:49:09,OTHER,URGENT,CLOSED,APP
TCK0000025,CUST0000155,2026-08-09 11:02:08,,NETWORK,LOW,OPEN,CHAT
TCK0000026,CUST0000007,2026-08-01 03:25:08,2026-08-02 15:25:08,NETWORK,MEDIUM,CLOSED,EMAIL
TCK0000027,CUST0000061,2026-08-13 20:42:01,2026-08-15 22:42:01,BILLING,HIGH,CLOSED,CALL
TCK0000028,CUST0000136,2026-08-24 01:29:06,2026-08-25 03:29:06,NETWORK,MEDIUM,CLOSED,APP
TCK0000029,CUST0000060,2026-08-28 14:43:33,2026-08-30 07:43:33,DEVICE,MEDIUM,CLOSED,CALL
TCK0000030,CUST0000232,2026-08-13 05:28:53,2026-08-14 10:28:53,PLAN_CHANGE,MEDIUM,CLOSED,CALL
TCK0000031,CUST0000010,2026-08-06 14:53:40,2026-08-07 06:53:40,PLAN_CHANGE,HIGH,CLOSED,CHAT
TCK0000032,CUST0000073,2026-08-25 21:03:29,,BILLING,HIGH,OPEN,APP
TCK0000033,CUST0000048,2026-08-19 14:20:31,,OTHER,HIGH,OPEN,EMAIL
TCK0000034,CUST0000081,2026-08-01 18:25:31,2026-08-03 06:25:31,NETWORK,URGENT,CLOSED,APP
TCK0000035,CUST0000133,2026-08-12 10:21:21,2026-08-15 02:21:21,BILLING,LOW,CLOSED,APP
TCK0000036,CUST0000100,2026-08-05 13:00:46,2026-08-06 10:00:46,BILLING,URGENT,CLOSED,EMAIL
TCK0000037,CUST0000076,2026-08-01 02:11:10,2026-08-03 11:11:10,PLAN_CHANGE,URGENT,CLOSED,CHAT
TCK0000038,CUST0000296,2026-08-08 14:23:56,2026-08-10 08:23:56,PLAN_CHANGE,MEDIUM,CLOSED,CHAT
TCK0000039,CUST0000240,2026-08-21 11:49:39,2026-08-22 23:49:39,BILLING,LOW,CLOSED,EMAIL
TCK0000040,CUST0000079,2026-08-16 17:07:33,,OTHER,LOW,OPEN,CALL
TCK0000041,CUST0000189,2026-08-02 06:02:53,2026-08-05 01:02:53,BILLING,LOW,CLOSED,CALL
TCK0000042,CUST0000078,2026-08-13 22:53:35,2026-08-14 21:53:35,NETWORK,LOW,CLOSED,EMAIL
TCK0000043,CUST0000096,2026-08-06 18:04:25,2026-08-07 19:04:25,BILLING,URGENT,CLOSED,CALL
TCK0000044,CUST0000155,2026-08-18 13:48:09,2026-08-19 05:48:09,NETWORK,URGENT,CLOSED,CALL
TCK0000045,CUST0000254,2026-08-15 18:49:42,,BILLING,MEDIUM,OPEN,CALL
TCK0000046,CUST0000102,2026-08-26 02:47:59,2026-08-27 23:47:59,DEVICE,MEDIUM,CLOSED,APP
TCK0000047,CUST0000091,2026-08-04 17:10:00,,BILLING,MEDIUM,OPEN,APP
TCK0000048,CUST0000127,2026-08-19 04:55:24,2026-08-21 04:55:24,OTHER,HIGH,CLOSED,CHAT
TCK0000049,CUST0000121,2026-08-13 19:13:06,2026-08-14 15:13:06,PLAN_CHANGE,MEDIUM,CLOSED,CHAT
TCK0000050,CUST0000268,2026-08-12 07:35:41,2026-08-13 06:35:41,BILLING,HIGH,CLOSED,EMAIL
TCK0000051,CUST0000243,2026-08-23 00:02:58,2026-08-24 05:02:58,DEVICE,MEDIUM,CLOSED,CHAT
TCK0000052,CUST0000117,2026-08-21 14:00:11,2026-08-22 02:00:11,OTHER,HIGH,CLOSED,CALL
