tower_id,region,latitude,longitude,capacity_mbps,tower_status
TWR00001,NORTH,43.37044,-73.832482,1000,ACTIVE
TWR00002,EAST,35.632108,-70.775194,500,ACTIVE
TWR00003,SOUTH,27.562514,-113.46945,500,MAINTENANCE
TWR00004,SOUTH,39.312657,-110.837994,100,ACTIVE
TWR00005,NORTH,41.515391,-96.833673,1000,MAINTENANCE
TWR00006,EAST,29.415435,-101.914764,1000,ACTIVE
TWR00007,SOUTH,29.638236,-122.162915,100,ACTIVE
TWR00008,WEST,30.341301,-85.733672,250,ACTIVE
TWR00009,NORTH,29.249877,-69.582153,1000,MAINTENANCE
TWR00010,WEST,41.508705,-74.59383,250,ACTIVE
TWR00011,WEST,43.629153,-89.347992,1000,MAINTENANCE
TWR00012,EAST,34.459617,-70.469069,100,MAINTENANCE
TWR00013,NORTH,35.83863,-76.860424,100,ACTIVE
TWR00014,WEST,48.611935,-121.762658,1000,MAINTENANCE
TWR00015,NORTH,29.556408,-98.945429,500,ACTIVE
TWR00016,WEST,28.995678,-107.218076,100,MAINTENANCE
TWR00017,SOUTH,36.125895,-87.172214,100,MAINTENANCE
TWR00018,NORTH,29.314513,-90.62948,250,ACTIVE
TWR00019,WEST,32.763062,-122.58001,1000,MAINTENANCE
TWR00020,SOUTH,46.181163,-118.859759,500,MAINTENANCE
TWR00021,SOUTH,42.240993,-116.95798,100,MAINTENANCE
TWR00022,WEST,40.217738,-119.137527,1000,MAINTENANCE
TWR00023,SOUTH,34.088287,-102.3054,250,ACTIVE
TWR00024,SOUTH,28.890978,-115.75738,100,ACTIVE
TWR00025,EAST,32.428439,-80.188066,1000,ACTIVE
TWR00026,SOUTH,27.821295,-116.500451,250,ACTIVE
TWR00027,EAST,25.292986,-95.635226,1000,MAINTENANCE
TWR00028,NORTH,39.591614,-95.872393,250,MAINTENANCE
TWR00029,WEST,35.889724,-98.813104,100,ACTIVE
TWR00030,EAST,39.874385,-92.219727,250,ACTIVE
TWR00031,SOUTH,28.558148,-86.763218,100,ACTIVE
TWR00032,NORTH,41.007917,-76.233177,500,ACTIVE
TWR00033,NORTH,26.176753,-100.233455,250,ACTIVE
TWR00034,EAST,39.666154,-84.583724,250,ACTIVE
TWR00035,EAST,47.355516,-118.691802,500,ACTIVE
TWR00036,EAST,46.540715,-77.24491,1000,MAINTENANCE
TWR00037,NORTH,32.027985,-116.33089,500,ACTIVE
TWR00038,WEST,37.591509,-84.337719,100,ACTIVE
TWR00039,NORTH,36.607912,-84.746706,500,ACTIVE
TWR00040,EAST,31.231841,-91.216867,500,ACTIVE
TWR00041,WEST,37.472939,-87.984116,1000,ACTIVE
TWR00042,SOUTH,42.00609,-68.182313,100,ACTIVE
TWR00043,NORTH,36.157255,-78.586244,250,MAINTENANCE
TWR00044,WEST,34.936987,-104.973841,250,ACTIVE
TWR00045,SOUTH,41.560409,-109.498201,100,ACTIVE
TWR00046,EAST,37.160551,-105.536341,100,ACTIVE
TWR00047,EAST,33.192678,-82.709391,100,ACTIVE
TWR00048,SOUTH,32.932356,-104.737599,1000,ACTIVE
TWR00049,NORTH,40.495653,-96.554755,1000,MAINTENANCE
TWR00050,EAST,36.099282,-77.592502,100,MAINTENANCE
TWR00051,EAST,38.558623,-85.342735,100,ACTIVE
TWR00052,EAST,44.188848,-73.38232,500,ACTIVE
TWR00053,SOUTH,31.731041,-122.22313,1000,MAINTENANCE
TWR00054,SOUTH,38.703559,-101.794722,100,ACTIVE
TWR00055,EAST,42.03616,-108.524647,100,ACTIVE
TWR00056,SOUTH,33.918006,-76.720924,500,ACTIVE
TWR00057,EAST,29.200306,-102.669706,100,ACTIVE
TWR00058,NORTH,35.650578,-122.578718,1000,MAINTENANCE
TWR00059,SOUTH,29.56508,-71.352704,500,ACTIVE
TWR00060,SOUTH,43.467554,-118.399661,250,ACTIVE
TWR00061,NORTH,36.024842,-83.320389,100,ACTIVE
TWR00062,EAST,47.376096,-84.838017,100,ACTIVE
TWR00063,WEST,46.340461,-118.123139,500,ACTIVE
TWR00064,EAST,40.33242,-112.038796,250,ACTIVE
TWR00065,EAST,31.639589,-105.808462,1000,MAINTENANCE
TWR00066,NORTH,31.543701,-115.022727,100,ACTIVE
TWR00067,NORTH,29.957857,-104.031866,500,ACTIVE
TWR00068,SOUTH,47.638668,-78.171838,250,ACTIVE
TWR00069,NORTH,32.473061,-73.142143,1000,ACTIVE
TWR00070,SOUTH,25.695824,-72.512333,100,ACTIVE
TWR00071,WEST,26.291197,-99.691453,250,MAINTENANCE
TWR00072,WEST,39.791568,-106.190883,250,MAINTENANCE
TWR00073,NORTH,48.368365,-80.922653,1000,MAINTENANCE
TWR00074,SOUTH,27.229988,-78.266022,1000,ACTIVE
TWR00075,WEST,32.4494,-87.268139,1000,ACTIVE
TWR00076,SOUTH,47.738758,-115.807864,500,ACTIVE
TWR00077,WEST,29.400474,-71.715928,500,ACTIVE
TWR00078,WEST,36.700162,-120.274184,100,ACTIVE
TWR00079,WEST,36.0698,-114.264312,500,MAINTENANCE
TWR00080,SOUTH,37.190792,-100.875899,100,ACTIVE
TWR00081,NORTH,44.018343,-93.633503,1000,MAINTENANCE
TWR00082,WEST,30.725807,-110.10961,250,ACTIVE
TWR00083,WEST,26.585438,-112.130426,1000,ACTIVE
TWR00084,EAST,38.068645,-110.539204,100,MAINTENANCE
TWR00085,WEST,27.743749,-90.023697,500,MAINTENANCE
TWR00086,NORTH,44.728553,-113.958082,1000,ACTIVE
TWR00087,NORTH,41.452208,-90.004891,1000,ACTIVE
TWR00088,WEST,40.479739,-120.495513,250,ACTIVE
TWR00089,NORTH,43.169865,-86.329761,1000,MAINTENANCE
TWR00090,EAST,34.359584,-91.057909,250,ACTIVE
TWR00091,EAST,32.193648,-78.72224,500,ACTIVE
TWR00092,EAST,48.766942,-90.784562,1000,ACTIVE
TWR00093,EAST,26.497853,-72.638685,100,ACTIVE
TWR00094,EAST,27.63276,-107.914073,100,ACTIVE
TWR00095,WEST,41.853325,-101.526706,500,MAINTENANCE
TWR00096,WEST,34.744784,-99.194167,250,MAINTENANCE
TWR00097,SOUTH,36.396914,-113.27107,1000,ACTIVE
TWR00098,WEST,28.702415,-67.145006,250,ACTIVE
TWR00099,NORTH,26.721904,-123.104655,1000,MAINTENANCE
TWR00100,WEST,48.399401,-116.260783,250,MAINTENANCE
TWR00101,WEST,45.643666,-73.065799,1000,MAINTENANCE
TWR00102,SOUTH,35.905465,-99.824893,1000,ACTIVE
TWR00103,EAST,30.417782,-99.788004,100,MAINTENANCE
TWR00104,WEST,45.323293,-110.505252,500,ACTIVE
TWR00105,EAST,25.803085,-121.841693,1000,MAINTENANCE
TWR00106,EAST,27.715945,-96.552624,100,ACTIVE
TWR00107,EAST,36.158472,-119.540628,100,ACTIVE
TWR00108,WEST,40.135908,-86.166994,100,MAINTENANCE
TWR00109,EAST,39.712939,-72.495639,100,ACTIVE
TWR00110,WEST,37.303915,-97.253754,500,ACTIVE
TWR00111,EAST,48.053951,-78.501276,500,ACTIVE
TWR00112,NORTH,41.681228,-89.934718,500,MAINTENANCE
TWR00113,EAST,26.474026,-97.02985,250,MAINTENANCE
TWR00114,NORTH,40.751677,-107.370067,100,ACTIVE
TWR00115,WEST,26.980244,-95.181022,500,ACTIVE
TWR00116,SOUTH,39.779146,-108.312624,500,ACTIVE
TWR00117,NORTH,39.491717,-72.122505,250,MAINTENANCE
TWR00118,WEST,33.874404,-114.002236,250,ACTIVE
TWR00119,SOUTH,44.184928,-74.865178,500,ACTIVE
TWR00120,SOUTH,39.293058,-77.161745,1000,ACTIVE
